score,model,kernel,AUDRC,Success Rate,experiment
stein,nn,gauss,0.1999930983822374,0.3,ans
stein,parametric-quad,gauss,0.012690789098447891,0.09,ans
stein,parametric-lin,gauss,0.028113910277982726,0.07,ans
lik,loci,loci,1.0,1.0,ls
kde,nn,exp,0.9962971684629429,0.97,ls
kde,parametric-quad,exp,0.993502780045732,0.95,ls
kde,anm,gauss,0.9930206220066791,0.95,ls
kde,lsnm,exp,0.9962707554082644,0.94,ls
kde,lsnm,gauss,0.9828945556806565,0.92,ls
hsic,loci,loci,0.9433135754828893,0.89,ls
kde,anm,exp,0.9795186935951427,0.89,ls
kde,nn,gauss,0.9400510181020936,0.87,ls
hybrid,anm,gauss,0.8779368428363652,0.77,ls
kde,parametric-quad,gauss,0.8577841546601077,0.73,ls
stein,anm,exp,0.9046965666286308,0.73,ls
stein,anm,gauss,0.8521127173028188,0.72,ls
stein,parametric-quad,exp,0.8804938714141531,0.69,ls
stein,lsnm,exp,0.8874761120758943,0.69,ls
stein,nn,exp,0.8543084160143907,0.68,ls
stein,parametric-lin,exp,0.8751122852570472,0.67,ls
kde,parametric-lin,exp,0.7549910078309503,0.61,ls
hybrid,anm,exp,0.7991594068159843,0.52,ls
hybrid,lsnm,gauss,0.5641593779399503,0.49,ls
kde,parametric-lin,gauss,0.5571293785318765,0.45,ls
hybrid,lsnm,exp,0.618611939861947,0.4,ls
hybrid,nn,gauss,0.33699699403870226,0.38,ls
stein,lsnm,gauss,0.4313339036786841,0.37,ls
hybrid,parametric-lin,exp,0.4205184564366408,0.32,ls
hybrid,parametric-quad,gauss,0.3279421164496028,0.29,ls
hybrid,parametric-quad,exp,0.441312281454817,0.29,ls
hybrid,nn,exp,0.39025214978734846,0.28,ls
hybrid,parametric-lin,gauss,0.28732444210866404,0.26,ls
stein,nn,gauss,0.17873619438557803,0.26,ls
stein,parametric-lin,gauss,0.20585804882409683,0.2,ls
stein,parametric-quad,gauss,0.23451691901892385,0.18,ls
lik,loci,loci,1.0,1.0,lss
kde,parametric-quad,exp,0.9993959389816532,0.97,lss
kde,parametric-quad,gauss,0.9981181498229076,0.97,lss
kde,lsnm,exp,0.9961420499473504,0.97,lss
kde,parametric-lin,exp,0.9966670136162681,0.96,lss
kde,parametric-lin,gauss,0.9897013624537925,0.94,lss
kde,nn,gauss,0.9916697780444745,0.93,lss
kde,lsnm,gauss,0.9567717486433764,0.87,lss
stein,anm,exp,0.9556521548695729,0.86,lss
stein,nn,exp,0.9558665656864287,0.86,lss
stein,parametric-quad,exp,0.9558034615749682,0.86,lss
stein,lsnm,exp,0.9543983679187005,0.86,lss
stein,parametric-lin,exp,0.9543437495387334,0.86,lss
kde,nn,exp,0.950394021039319,0.85,lss
stein,nn,gauss,0.9045078993249838,0.77,lss
stein,lsnm,gauss,0.9146887615054642,0.74,lss
hybrid,nn,exp,0.928807796771724,0.71,lss
hybrid,lsnm,exp,0.9305462314952325,0.7,lss
hybrid,anm,exp,0.9294899452329964,0.7,lss
hybrid,lsnm,gauss,0.8867127786747004,0.7,lss
hybrid,parametric-quad,exp,0.9257190960054317,0.69,lss
hybrid,nn,gauss,0.8772907089801936,0.69,lss
hybrid,parametric-lin,exp,0.9165522990055294,0.69,lss
hybrid,parametric-quad,gauss,0.8512396173206647,0.66,lss
kde,anm,gauss,0.7914536145040043,0.64,lss
kde,anm,exp,0.7251998537426081,0.63,lss
stein,parametric-quad,gauss,0.7577575137058326,0.62,lss
stein,parametric-lin,gauss,0.7146957791417984,0.59,lss
hybrid,parametric-lin,gauss,0.7945929815600979,0.59,lss
hsic,loci,loci,0.7403855095337,0.57,lss
hybrid,anm,gauss,0.8018434744460705,0.54,lss
stein,anm,gauss,0.79279778265755,0.52,lss
kde,parametric-quad,exp,1.0,1.0,mnu
lik,loci,loci,1.0,1.0,mnu
kde,parametric-quad,gauss,0.998579484913303,0.96,mnu
kde,nn,gauss,0.9389471610052554,0.81,mnu
hsic,loci,loci,0.9510735820347932,0.8,mnu
kde,lsnm,exp,0.9293719568574896,0.8,mnu
hybrid,nn,gauss,0.912442283881561,0.77,mnu
kde,parametric-lin,gauss,0.8822931316708035,0.77,mnu
hybrid,parametric-lin,gauss,0.8543282603521004,0.71,mnu
kde,lsnm,gauss,0.8528892778892093,0.7,mnu
kde,anm,gauss,0.7532444878810529,0.68,mnu
hybrid,parametric-quad,gauss,0.8024094233140413,0.67,mnu
stein,lsnm,exp,0.6841448999146287,0.66,mnu
stein,nn,exp,0.7118688108644933,0.65,mnu
hybrid,lsnm,gauss,0.7517079632967731,0.64,mnu
stein,parametric-quad,exp,0.6652323383485986,0.62,mnu
stein,parametric-lin,exp,0.6610387935280564,0.61,mnu
