score, kernel, reg, model, bw_factor, bw_factor_joint, dataset, outlier_trim, test_size, AUDRC, success_rate, causal_mse, anticausal_mse, score_time, score_cause_mse, effect_score_mse, joint_score_mse, gof_causal, gof_anticausal, sample_sizel
kde,gauss,0.01,parametric-quad-exp,1,1,velocity,0.0, , 0.6281925300043744, 0.69,  nan, nan, 0.015272378921508789, nan, nan, nan, 0.9972324371337891, 1.4930636882781982, 5000
stein,gauss,0.1,lsnm,1,1,lsnm,0.0, , 0.6992898382029789, 0.64,  nan, nan, 0.2750518321990967, nan, nan, nan, 0.20637434720993042, 0.2298876941204071, 5000
stein,gauss,0.1,lsnm,1,1,anm,0.0, , 0.7709210609498542, 0.69,  nan, nan, 0.2751452922821045, nan, nan, nan, 0.30411195755004883, 0.41704320907592773, 5000
stein,exp,0.1,lsnm,1,1,anm,0.0, , 0.1398444272366894, 0.26,  nan, nan, 0.27754974365234375, nan, nan, nan, 15.56671142578125, 14.265210151672363, 5000
stein,exp,0.1,lsnm,1,1,lsnm,0.0, , 0.20275074936198145, 0.37,  nan, nan, 0.278303861618042, nan, nan, nan, 14.379353523254395, 14.13821792602539, 5000
stein,gauss,0.1,lsnm,1,1,sigmoid,0.0, , 0.899120136299307, 0.76,  nan, nan, 0.27527666091918945, nan, nan, nan, 0.1939668357372284, 0.2216116487979889, 5000
stein,exp,0.1,lsnm,1,1,sigmoid,0.0, , 0.40972195725446675, 0.34,  nan, nan, 0.2778284549713135, nan, nan, nan, 14.046744346618652, 13.86700439453125, 5000
kde,exp,0.01,nn,1,1,sigmoid,0.0, , 0.3692675323245762, 0.3,  nan, nan, 0.01568603515625, nan, nan, nan, 0.7714717984199524, 0.7458134889602661, 5000
kde,gauss,0.01,nn,1,1,sigmoid,0.0, , 0.3910460574276406, 0.28,  nan, nan, 0.01382756233215332, nan, nan, nan, 1.0420258045196533, 0.9856569766998291, 5000
kde,exp,0.01,anm,1,1,velocity,0.0, , 0.3401169110175036, 0.47,  nan, nan, 0.015658855438232422, nan, nan, nan, 0.990230143070221, 1.0812495946884155, 5000
kde,gauss,0.01,anm,1,1,velocity,0.0, , 0.49436650678706273, 0.58,  nan, nan, 0.013857603073120117, nan, nan, nan, 1.3897737264633179, 1.5886595249176025, 5000
kde,gauss,0.01,nn,1,1,velocity,0.0, , 0.62804527321432, 0.66,  nan, nan, 0.013884305953979492, nan, nan, nan, 0.97907555103302, 1.4769392013549805, 5000
kde,exp,0.01,nn,1,1,velocity,0.0, , 0.5602803052475736, 0.63,  nan, nan, 0.015824556350708008, nan, nan, nan, 0.6692835092544556, 0.9585921764373779, 5000
stein,gauss,0.1,lsnm,1,1,velocity,0.0, , 0.9922273063924681, 0.93,  nan, nan, 0.27523207664489746, nan, nan, nan, 0.8618202209472656, 1.3227083683013916, 5000
stein,exp,0.1,lsnm,1,1,velocity,0.0, , 0.6179042831780477, 0.59,  nan, nan, 0.27822041511535645, nan, nan, nan, 15.573385238647461, 16.006729125976562, 5000
kde,exp,0.01,lsnm,1,1,anm,0.0, , 0.2121818127390725, 0.31,  nan, nan, 0.015769481658935547, nan, nan, nan, 0.7330287098884583, 0.6661109924316406, 5000
kde,gauss,0.01,lsnm,1,1,anm,0.0, , 0.23130682160233895, 0.38,  nan, nan, 0.014054536819458008, nan, nan, nan, 1.0520302057266235, 1.0419576168060303, 5000
kde,exp,0.01,lsnm,1,1,lsnm,0.0, , 0.11449866013810885, 0.27,  nan, nan, 0.015874624252319336, nan, nan, nan, 0.6579245924949646, 0.6362069845199585, 5000
stein,gauss,0.1,nn,1,1,anm,0.0, , 0.7105471936258242, 0.64,  nan, nan, 0.27543067932128906, nan, nan, nan, 0.23666070401668549, 0.26497557759284973, 5000
stein,gauss,0.1,nn,1,1,lsnm,0.0, , 0.7530990698909342, 0.62,  nan, nan, 0.2747981548309326, nan, nan, nan, 0.18763555586338043, 0.19581425189971924, 5000
kde,gauss,0.01,lsnm,1,1,lsnm,0.0, , 0.19039237228882855, 0.37,  nan, nan, 0.013964653015136719, nan, nan, nan, 1.0339572429656982, 1.0100786685943604, 5000
stein,exp,0.1,nn,1,1,lsnm,0.0, , 0.20410348279014712, 0.37,  nan, nan, 0.2783231735229492, nan, nan, nan, 14.331931114196777, 14.10628890991211, 5000
kde,gauss,0.01,lsnm,1,1,sigmoid,0.0, , 0.42543432969337514, 0.3,  nan, nan, 0.013792753219604492, nan, nan, nan, 1.032289743423462, 0.9800688028335571, 5000
stein,gauss,0.1,nn,1,1,sigmoid,0.0, , 0.7357380400067458, 0.6,  nan, nan, 0.2761988639831543, nan, nan, nan, 0.18691816926002502, 0.19077472388744354, 5000
stein,gauss,0.1,nn,1,1,velocity,0.0, , 0.9858914429348569, 0.92,  nan, nan, 0.27484560012817383, nan, nan, nan, 0.4341871440410614, 1.0384106636047363, 5000
stein,exp,0.1,nn,1,1,velocity,0.0, , 0.5895240171667522, 0.58,  nan, nan, 0.2783534526824951, nan, nan, nan, 15.231728553771973, 15.807029724121094, 5000
stein,exp,0.1,nn,1,1,sigmoid,0.0, , 0.40864469608729115, 0.34,  nan, nan, 0.27873826026916504, nan, nan, nan, 14.011738777160645, 13.844101905822754, 5000
kde,exp,0.01,nn,1,1,anm,0.0, , 0.21257131866349568, 0.31,  nan, nan, 0.015791893005371094, nan, nan, nan, 0.7045196294784546, 0.6107023358345032, 5000
kde,exp,0.01,lsnm,1,1,sigmoid,0.0, , 0.22272467746034078, 0.16,  nan, nan, 0.01755809783935547, nan, nan, nan, 0.7800178527832031, 0.742357075214386, 5000
kde,gauss,0.01,nn,1,1,anm,0.0, , 0.22343548434098814, 0.33,  nan, nan, 0.014013290405273438, nan, nan, nan, 1.0697088241577148, 1.0144574642181396, 5000
kde,exp,0.01,lsnm,1,1,velocity,0.0, , 0.5829256904558722, 0.67,  nan, nan, 0.016136884689331055, nan, nan, nan, 0.7146968841552734, 0.9842749238014221, 5000
